N. Pokédex,Pokémon,Forme,Tipo1,Tipo2,Categoria,Grado,PS,Attacco,Difesa,Attacco sp.,Difesa sp.,Velocità,Totale,Media,Mossa 1,Mossa 2,Mossa 3,Mossa 4,Forte 1 Contro,Forte 2 Contro,Debole 1 Contro,Debole 2 Contro
#0023,Ekans,,Veleno,,Pokémon Serpente,Base,35,60,44,40,54,55,288,"48,00",,,,,Folletto - Erba,–,Terra - Psico,–
#0024,Arbok,,Veleno,,Pokémon Cobra,Stadio 1,60,95,69,65,79,80,448,"74,67",,,,,Folletto - Erba,–,Terra - Psico,–
#0025,Pikachu,Forma Normale,Elettro,,Pokémon Topo,Stadio 1,35,55,40,50,50,90,320,"53,33",Brick Break,Fake Out,Knock Off,Light Screen,Volante - Acqua,–,Terra,–
#0025,Pikachu,Pikachu Gigamax,Elettro,,Pokémon Topo,GigaEvoluzione,35,55,40,50,50,90,320,"53,33",Brick Break,Fake Out,Knock Off,Light Screen,Volante - Acqua,–,Terra,–
#0026,Raichu,Forma Normale,Elettro,,Pokémon Topo,Stadio 1,60,90,55,90,80,110,485,"80,83",Brutal Swing,Charm,Eerie Impulse,Electroweb,Volante - Acqua,–,Terra,–
#0026,Raichu,Forma Alola,Elettro,Psico,Pokémon Topo,Stadio 1,60,85,50,95,85,110,485,"80,83",Brutal Swing,Charm,Eerie Impulse,Electroweb,Volante - Acqua,Lotta - Veleno,Terra,Coleottero - Buio - Spettro
#0027,Sandshrew,Forma Normale,Terra,,Pokémon Topo,Base,50,75,85,20,30,40,300,"50,00",Earthquake,Knock Off,Protect,Rapid Spin,Elettro - Fuoco - Veleno - Roccia - Acciaio,–,Erba - Ghiaccio - Acqua,–
#0027,Sandshrew,Forma Alola,Ghiaccio,Acciaio,Pokémon Topo,Base,50,75,90,10,35,40,300,"50,00",Earthquake,Knock Off,Protect,Rapid Spin,Drago - Volante - Erba - Terra,Folletto - Ghiaccio - Roccia,Lotta - Fuoco - Roccia - Acciaio,Lotta - Fuoco - Terra
#0028,Sandslash,Forma Normale,Terra,,Pokémon Topo,Stadio 1,75,100,110,45,55,65,450,"75,00",Brick Break,Bulldoze,Drill Run,Earthquake,Elettro - Fuoco - Veleno - Roccia - Acciaio,–,Erba - Ghiaccio - Acqua,–
#0028,Sandslash,Forma Alola,Ghiaccio,Acciaio,Pokémon Topo,Stadio 1,75,100,120,25,65,65,450,"75,00",Brick Break,Bulldoze,Drill Run,Earthquake,Drago - Volante - Erba - Terra,Folletto - Ghiaccio - Roccia,Lotta - Fuoco - Roccia - Acciaio,Lotta - Fuoco - Terra
#0029,Nidoran♀,,Veleno,,Pokémon Velenago,Base,55,47,52,40,40,41,275,"45,83",,,,,Folletto - Erba,–,Terra - Psico,–
#0030,Nidorina,,Veleno,,Pokémon Velenago,Stadio 1,70,62,67,55,55,56,365,"60,83",Ice Beam,Protect,Reflect,Rest,Folletto - Erba,–,Terra - Psico,–
#0031,Nidoqueen,,Veleno,Terra,Pokémon Trapano,Stadio 2,90,92,87,75,85,76,505,"84,17",Earth Power,Earthquake,Flamethrower,Ice Beam,Folletto - Erba,Elettro - Fuoco - Veleno - Roccia - Acciaio,Terra - Psico,Erba - Ghiaccio - Acqua
#0032,Nidoran♂,,Veleno,,Pokémon Velenago,Base,46,57,40,40,40,50,273,"45,50",,,,,Folletto - Erba,–,Terra - Psico,–
#0033,Nidorino,,Veleno,,Pokémon Velenago,Stadio 1,61,72,57,55,55,65,365,"60,83",Head Smash,Ice Beam,Protect,Reflect,Folletto - Erba,–,Terra - Psico,–
#0034,Nidoking,,Veleno,Terra,Pokémon Trapano,Stadio 2,81,102,77,85,75,85,505,"84,17",Earth Power,Earthquake,Flamethrower,Head Smash,Folletto - Erba,Elettro - Fuoco - Veleno - Roccia - Acciaio,Terra - Psico,Erba - Ghiaccio - Acqua
#0035,Clefairy,,Folletto,,Pokémon Fata,Stadio 1,70,45,48,60,65,35,323,"53,83",Baton Pass,Dazzling Gleam,Follow Me,Helping Hand,Lotta - Buio - Drago,–,Veleno - Acciaio,–
#0036,Clefable,,Folletto,,Pokémon Fata,Stadio 2,95,70,73,95,90,60,483,"80,50",After You,Baton Pass,Dazzling Gleam,Flamethrower,Lotta - Buio - Drago,–,Veleno - Acciaio,–
#0037,Vulpix,Forma Normale,Fuoco,,Pokémon Volpe,Base,38,41,40,50,65,65,299,"49,83",Howl,Protect,Reflect,Rest,Coleottero - Erba - Ghiaccio - Acciaio,–,Terra - Roccia - Acqua,–
#0037,Vulpix,Forma Alola,Ghiaccio,,Pokémon Volpe,Base,38,41,40,50,65,65,299,"49,83",Howl,Protect,Reflect,Rest,Drago - Volante - Erba - Terra,–,Lotta - Fuoco - Roccia - Acciaio,–
#0038,Ninetales,Forma Normale,Fuoco,,Pokémon Volpe,Stadio 1,73,76,75,81,100,100,505,"84,17",Baby-Doll Eyes,Extrasensory,Fake Tears,Flamethrower,Coleottero - Erba - Ghiaccio - Acciaio,–,Terra - Roccia - Acqua,–
#0038,Ninetales,Forma Alola,Ghiaccio,Folletto,Pokémon Volpe,Stadio 1,73,67,75,81,100,109,505,"84,17",Baby-Doll Eyes,Extrasensory,Fake Tears,Flamethrower,Drago - Volante - Erba - Terra,Lotta - Buio - Drago,Lotta - Fuoco - Roccia - Acciaio,Veleno - Acciaio
#0039,Jigglypuff,,Normale,Folletto,Pokémon Pallone,Stadio 1,115,45,20,45,25,20,270,"45,00",Baton Pass,Ice Beam,Knock Off,Light Screen,–,Lotta - Buio - Drago,Lotta,Veleno - Acciaio
#0040,Wigglytuff,,Normale,Folletto,Pokémon Pallone,Stadio 2,140,70,45,85,50,45,435,"72,50",Ally Switch,Baton Pass,Blizzard,Dazzling Gleam,–,Lotta - Buio - Drago,Lotta,Veleno - Acciaio
#0041,Zubat,,Veleno,Volante,Pokémon Pipistrello,Base,40,45,35,30,40,55,245,"40,83",Protect,Rest,Roost,Taunt,Folletto - Erba,Coleottero - Lotta - Erba,Terra - Psico,Elettro - Ghiaccio - Roccia
#0042,Golbat,,Veleno,Volante,Pokémon Pipistrello,Stadio 1,75,80,70,65,75,90,455,"75,83",Protect,Rest,Roost,Taunt,Folletto - Erba,Coleottero - Lotta - Erba,Terra - Psico,Elettro - Ghiaccio - Roccia
#0043,Oddish,,Erba,Veleno,Pokémon Malerba,Base,45,50,55,75,65,30,320,"53,33",Protect,Reflect,Rest,Toxic,Terra - Roccia - Acqua,Folletto - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Terra - Psico
#0044,Gloom,,Erba,Veleno,Pokémon Malerba,Stadio 1,60,65,70,85,75,40,395,"65,83",Protect,Reflect,Rest,Toxic,Terra - Roccia - Acqua,Folletto - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Terra - Psico
#0045,Vileplume,,Erba,Veleno,Pokémon Fiore,Stadio 2,75,80,85,110,90,50,490,"81,67",After You,Energy Ball,Giga Drain,Grassy Terrain,Terra - Roccia - Acqua,Folletto - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Terra - Psico
#0046,Paras,,Coleottero,Erba,Pokémon Fungo,Base,35,70,55,45,55,25,285,"47,50",,,,,Erba - Buio - Psico,Terra - Roccia - Acqua,Fuoco - Volante - Roccia,Coleottero - Fuoco - Volante - Ghiaccio - Veleno
#0047,Parasect,,Coleottero,Erba,Pokémon Fungo,Stadio 1,60,95,80,60,80,30,405,"67,50",,,,,Erba - Buio - Psico,Terra - Roccia - Acqua,Fuoco - Volante - Roccia,Coleottero - Fuoco - Volante - Ghiaccio - Veleno
#0048,Venonat,,Coleottero,Veleno,Pokémon Insetto,Base,60,55,50,40,55,45,305,"50,83",,,,,Erba - Buio - Psico,Folletto - Erba,Fuoco - Volante - Roccia,Terra - Psico
#0049,Venomoth,,Coleottero,Veleno,Pokémon Velentarma,Stadio 1,70,65,60,90,75,90,450,"75,00",,,,,Erba - Buio - Psico,Folletto - Erba,Fuoco - Volante - Roccia,Terra - Psico
#0050,Diglett,Forma Normale,Terra,,Pokémon Talpa,Base,10,55,25,35,45,95,265,"44,17",Earthquake,Protect,Rest,Stealth Rock,Elettro - Fuoco - Veleno - Roccia - Acciaio,–,Erba - Ghiaccio - Acqua,–
#0050,Diglett,Forma Alola,Terra,Acciaio,Pokémon Talpa,Base,10,55,30,35,45,90,265,"44,17",Earthquake,Protect,Rest,Stealth Rock,Elettro - Fuoco - Veleno - Roccia - Acciaio,Folletto - Ghiaccio - Roccia,Erba - Ghiaccio - Acqua,Lotta - Fuoco - Terra
#0051,Dugtrio,Forma Normale,Terra,,Pokémon Talpa,Stadio 1,35,100,50,50,70,120,425,"70,83",Ally Switch,Beat Up,Earthquake,Memento,Elettro - Fuoco - Veleno - Roccia - Acciaio,–,Erba - Ghiaccio - Acqua,–
#0051,Dugtrio,Forma Alola,Terra,Acciaio,Pokémon Talpa,Stadio 1,35,100,60,50,70,110,425,"70,83",Earthquake,Protect,Rest,Stealth Rock,Elettro - Fuoco - Veleno - Roccia - Acciaio,Folletto - Ghiaccio - Roccia,Erba - Ghiaccio - Acqua,Lotta - Fuoco - Terra
#0052,Meowth,Forma Normale,Normale,,Pokémon Graffimiao,Base,40,45,35,40,40,90,290,"48,33",Fake Out,Knock Off,Protect,Rest,–,–,Lotta,–
#0052,Meowth,Forma Alola,Buio,,Pokémon Graffimiao,Base,40,35,35,50,40,90,290,"48,33",Fake Out,Knock Off,Protect,Rest,Spettro - Psico,–,Coleottero - Folletto - Lotta,–
#0052,Meowth,Forma Galar,Acciaio,,Pokémon Graffimiao,Base,50,65,55,40,40,40,290,"48,33",Fake Out,Knock Off,Protect,Rest,Folletto - Ghiaccio - Roccia,–,Lotta - Fuoco - Terra,–
#0052,Meowth,Meowth Gigamax,Normale,,Pokémon Graffimiao,GigaEvoluzione,40,45,35,40,40,90,290,"48,33",Fake Out,Knock Off,Protect,Rest,–,–,Lotta,–
#0053,Persian,Forma Normale,Normale,,Pokémon Nobilgatto,Stadio 1,65,70,60,65,65,115,440,"73,33",Fake Out,Knock Off,Protect,Rest,–,–,Lotta,–
#0053,Persian,Forma Alola,Buio,,Pokémon Nobilgatto,Stadio 1,65,60,60,75,65,115,440,"73,33",Fake Out,Knock Off,Protect,Rest,Spettro - Psico,–,Coleottero - Folletto - Lotta,–
#0054,Psyduck,,Acqua,,Pokémon Papero,Base,50,52,48,65,50,55,320,"53,33",Hydro Pump,Ice Beam,Light Screen,Protect,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0055,Golduck,,Acqua,,Pokémon Papero,Stadio 1,80,82,78,95,80,85,500,"83,33",Aqua Jet,Clear Smog,Flip Turn,Hydro Pump,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0056,Mankey,,Lotta,,Pokémon Suinpanzé,Base,40,80,35,35,45,70,305,"50,83",,,,,Buio - Ghiaccio - Normale - Roccia - Acciaio,–,Folletto - Volante - Psico,–
#0057,Primeape,,Lotta,,Pokémon Suinpanzé,Stadio 1,65,105,60,60,70,95,455,"75,83",,,,,Buio - Ghiaccio - Normale - Roccia - Acciaio,–,Folletto - Volante - Psico,–
#0058,Growlithe,Forma Normale,Fuoco,,Pokémon Cagnolino,Base,55,70,45,70,50,60,350,"58,33",Howl,Protect,Reflect,Rest,Coleottero - Erba - Ghiaccio - Acciaio,–,Terra - Roccia - Acqua,–
#0058,Growlithe,Forma Hisui,Fuoco,Roccia,Pokémon Esplorante,Base,60,75,45,65,50,55,350,"58,33",Howl,Protect,Reflect,Rest,Coleottero - Erba - Ghiaccio - Acciaio,Coleottero - Fuoco - Volante - Ghiaccio,Terra - Roccia - Acqua,Lotta - Erba - Terra - Acciaio - Acqua
#0059,Arcanine,Forma Normale,Fuoco,,Pokémon Leggenda,Stadio 1,90,110,80,100,80,95,555,"92,50",Bulldoze,Burn Up,Close Combat,Dig,Coleottero - Erba - Ghiaccio - Acciaio,–,Terra - Roccia - Acqua,–
#0059,Arcanine,Forma Hisui,Fuoco,Roccia,Pokémon Leggenda,Stadio 1,95,115,80,95,80,90,555,"92,50",Bulldoze,Burn Up,Close Combat,Dig,Coleottero - Erba - Ghiaccio - Acciaio,Coleottero - Fuoco - Volante - Ghiaccio,Terra - Roccia - Acqua,Lotta - Erba - Terra - Acciaio - Acqua
#0060,Poliwag,,Acqua,,Pokémon Girino,Base,40,50,40,40,40,90,300,"50,00",Hydro Pump,Ice Beam,Protect,Rest,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0061,Poliwhirl,,Acqua,,Pokémon Girino,Stadio 1,65,65,65,50,50,90,385,"64,17",Earthquake,Hydro Pump,Ice Beam,Protect,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0062,Poliwrath,,Acqua,Lotta,Pokémon Girino,Stadio 2,90,95,95,70,90,70,510,"85,00",Belly Drum,Drain Punch,Earthquake,Hydro Pump,Fuoco - Terra - Roccia,Buio - Ghiaccio - Normale - Roccia - Acciaio,Elettro - Erba,Folletto - Volante - Psico
#0063,Abra,,Psico,,Pokémon Psico,Base,25,20,15,105,55,90,310,"51,67",Knock Off,Light Screen,Protect,Reflect,Lotta - Veleno,–,Coleottero - Buio - Spettro,–
#0064,Kadabra,,Psico,,Pokémon Psico,Stadio 1,40,35,30,120,70,105,400,"66,67",Knock Off,Light Screen,Protect,Reflect,Lotta - Veleno,–,Coleottero - Buio - Spettro,–
#0065,Alakazam,Forma Normale,Psico,,Pokémon Psico,Stadio 2,55,50,45,135,95,120,500,"83,33",Ally Switch,Dazzling Gleam,Energy Ball,Expanding Force,Lotta - Veleno,–,Coleottero - Buio - Spettro,–
#0065,Alakazam,Mega Alakazam,Psico,,Pokémon Psico,MegaEvoluzione,55,50,65,175,105,150,600,"100,00",Ally Switch,Dazzling Gleam,Energy Ball,Expanding Force,Lotta - Veleno,–,Coleottero - Buio - Spettro,–
#0066,Machop,,Lotta,,Pokémon Megaforza,Base,70,80,50,35,35,35,305,"50,83",Earthquake,Knock Off,Light Screen,Protect,Buio - Ghiaccio - Normale - Roccia - Acciaio,–,Folletto - Volante - Psico,–
#0067,Machoke,,Lotta,,Pokémon Megaforza,Stadio 1,80,100,70,50,60,45,405,"67,50",Earthquake,Knock Off,Light Screen,Protect,Buio - Ghiaccio - Normale - Roccia - Acciaio,–,Folletto - Volante - Psico,–
#0068,Machamp,Forma Normale,Lotta,,Pokémon Megaforza,Stadio 2,90,130,80,65,85,55,505,"84,17",Bulk Up,Bullet Punch,Close Combat,Earthquake,Buio - Ghiaccio - Normale - Roccia - Acciaio,–,Folletto - Volante - Psico,–
#0068,Machamp,Machamp Gigamax,Lotta,,Pokémon Megaforza,GigaEvoluzione,90,130,80,65,85,55,505,"84,17",Bulk Up,Bullet Punch,Close Combat,Earthquake,Buio - Ghiaccio - Normale - Roccia - Acciaio,–,Folletto - Volante - Psico,–
#0069,Bellsprout,,Erba,Veleno,Pokémon Fiore,Base,50,75,35,70,30,40,300,"50,00",,,,,Terra - Roccia - Acqua,Folletto - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Terra - Psico
#0070,Weepinbell,,Erba,Veleno,Pokémon Moschivoro,Stadio 1,65,90,50,85,45,55,390,"65,00",,,,,Terra - Roccia - Acqua,Folletto - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Terra - Psico
#0071,Victreebel,,Erba,Veleno,Pokémon Moschivoro,Stadio 2,80,105,65,100,70,70,490,"81,67",,,,,Terra - Roccia - Acqua,Folletto - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Terra - Psico
#0072,Tentacool,,Acqua,Veleno,Pokémon Medusa,Base,40,40,35,50,100,70,335,"55,83",Hydro Pump,Ice Beam,Knock Off,Protect,Fuoco - Terra - Roccia,Folletto - Erba,Elettro - Erba,Terra - Psico
#0073,Tentacruel,,Acqua,Veleno,Pokémon Medusa,Stadio 1,80,70,65,80,120,100,515,"85,83",Blizzard,Dazzling Gleam,Giga Drain,Hydro Pump,Fuoco - Terra - Roccia,Folletto - Erba,Elettro - Erba,Terra - Psico
#0074,Geodude,Forma Normale,Roccia,Terra,Pokémon Roccia,Base,40,80,100,30,30,20,300,"50,00",,,,,Coleottero - Fuoco - Volante - Ghiaccio,Elettro - Fuoco - Veleno - Roccia - Acciaio,Lotta - Erba - Terra - Acciaio - Acqua,Erba - Ghiaccio - Acqua
#0074,Geodude,Forma Alola,Roccia,Elettro,Pokémon Roccia,Base,40,80,100,30,30,20,300,"50,00",,,,,Coleottero - Fuoco - Volante - Ghiaccio,Volante - Acqua,Lotta - Erba - Terra - Acciaio - Acqua,Terra
#0075,Graveler,Forma Normale,Roccia,Terra,Pokémon Roccia,Stadio 1,55,95,115,45,45,35,390,"65,00",,,,,Coleottero - Fuoco - Volante - Ghiaccio,Elettro - Fuoco - Veleno - Roccia - Acciaio,Lotta - Erba - Terra - Acciaio - Acqua,Erba - Ghiaccio - Acqua
#0075,Graveler,Forma Alola,Roccia,Elettro,Pokémon Roccia,Stadio 1,55,95,115,45,45,35,390,"65,00",,,,,Coleottero - Fuoco - Volante - Ghiaccio,Volante - Acqua,Lotta - Erba - Terra - Acciaio - Acqua,Terra
#0076,Golem,Forma Normale,Roccia,Terra,Pokémon Megatone,Stadio 2,80,120,130,55,65,45,495,"82,50",,,,,Coleottero - Fuoco - Volante - Ghiaccio,Elettro - Fuoco - Veleno - Roccia - Acciaio,Lotta - Erba - Terra - Acciaio - Acqua,Erba - Ghiaccio - Acqua
#0076,Golem,Forma Alola,Roccia,Elettro,Pokémon Megatone,Stadio 2,80,120,130,55,65,45,495,"82,50",,,,,Coleottero - Fuoco - Volante - Ghiaccio,Volante - Acqua,Lotta - Erba - Terra - Acciaio - Acqua,Terra
#0077,Ponyta,Forma Normale,Fuoco,,Pokémon Cavalfuoco,Base,50,85,55,65,65,90,410,"68,33",Protect,Reflect,Rest,Toxic,Coleottero - Erba - Ghiaccio - Acciaio,–,Terra - Roccia - Acqua,–
#0077,Ponyta,Forma Galar,Psico,Folletto,Pokémon Singolcorno,Base,50,85,55,65,65,90,410,"68,33",Protect,Reflect,Rest,Toxic,Lotta - Veleno,Lotta - Buio - Drago,Coleottero - Buio - Spettro,Veleno - Acciaio
#0078,Rapidash,Forma Normale,Fuoco,,Pokémon Cavalfuoco,Stadio 1,65,100,70,80,80,105,500,"83,33",Baton Pass,Protect,Reflect,Rest,Coleottero - Erba - Ghiaccio - Acciaio,–,Terra - Roccia - Acqua,–
#0078,Rapidash,Forma Galar,Psico,Folletto,Pokémon Singolcorno,Stadio 1,65,100,70,80,80,105,500,"83,33",Baton Pass,Protect,Reflect,Rest,Lotta - Veleno,Lotta - Buio - Drago,Coleottero - Buio - Spettro,Veleno - Acciaio
#0079,Slowpoke,Forma Normale,Acqua,Psico,Pokémon Ronfone,Base,90,65,65,40,40,15,315,"52,50",Earthquake,Hydro Pump,Ice Beam,Light Screen,Fuoco - Terra - Roccia,Lotta - Veleno,Elettro - Erba,Coleottero - Buio - Spettro
#0079,Slowpoke,Forma Galar,Psico,,Pokémon Ronfone,Base,90,65,65,40,40,15,315,"52,50",Earthquake,Hydro Pump,Ice Beam,Light Screen,Lotta - Veleno,–,Coleottero - Buio - Spettro,–
