N. Pokédex,Pokémon,Forme,Tipo1,Tipo2,Categoria,Grado,PS,Attacco,Difesa,Attacco sp.,Difesa sp.,Velocità,Totale,Media,Mossa 1,Mossa 2,Mossa 3,Mossa 4,Forte 1 Contro,Forte 2 Contro,Debole 1 Contro,Debole 2 Contro
#0058,Growlithe,Forma Hisui,Fuoco,Roccia,Pokémon Esplorante,Base,60,75,45,65,50,55,350,58.33,Howl,Protect,Reflect,Rest,Coleottero - Erba - Ghiaccio - Acciaio,Coleottero - Fuoco - Volante - Ghiaccio,Terra - Roccia - Acqua,Lotta - Erba - Terra - Acciaio - Acqua
#0059,Arcanine,Forma Normale,Fuoco,,Pokémon Leggenda,Stadio 1,90,110,80,100,80,95,555,92.50,Bulldoze,Burn Up,Close Combat,Dig,Coleottero - Erba - Ghiaccio - Acciaio,–,Terra - Roccia - Acqua,–
#0059,Arcanine,Forma Hisui,Fuoco,Roccia,Pokémon Leggenda,Stadio 1,95,115,80,95,80,90,555,92.50,Bulldoze,Burn Up,Close Combat,Dig,Coleottero - Erba - Ghiaccio - Acciaio,Coleottero - Fuoco - Volante - Ghiaccio,Terra - Roccia - Acqua,Lotta - Erba - Terra - Acciaio - Acqua
#0060,Poliwag,,Acqua,,Pokémon Girino,Base,40,50,40,40,40,90,300,50.00,Hydro Pump,Ice Beam,Protect,Rest,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0061,Poliwhirl,,Acqua,,Pokémon Girino,Stadio 1,65,65,65,50,50,90,385,64.17,Earthquake,Hydro Pump,Ice Beam,Protect,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0062,Poliwrath,,Acqua,Lotta,Pokémon Girino,Stadio 2,90,95,95,70,90,70,510,85.00,Belly Drum,Drain Punch,Earthquake,Hydro Pump,Fuoco - Terra - Roccia,Buio - Ghiaccio - Normale - Roccia - Acciaio,Elettro - Erba,Folletto - Volante - Psico
#0063,Abra,,Psico,,Pokémon Psico,Base,25,20,15,105,55,90,310,51.67,Knock Off,Light Screen,Protect,Reflect,Lotta - Veleno,–,Coleottero - Buio - Spettro,–
#0064,Kadabra,,Psico,,Pokémon Psico,Stadio 1,40,35,30,120,70,105,400,66.67,Knock Off,Light Screen,Protect,Reflect,Lotta - Veleno,–,Coleottero - Buio - Spettro,–
#0065,Alakazam,Forma Normale,Psico,,Pokémon Psico,Stadio 2,55,50,45,135,95,120,500,83.33,Ally Switch,Dazzling Gleam,Energy Ball,Expanding Force,Lotta - Veleno,–,Coleottero - Buio - Spettro,–
#0066,Machop,,Lotta,,Pokémon Megaforza,Base,70,80,50,35,35,35,305,50.83,Earthquake,Knock Off,Light Screen,Protect,Buio - Ghiaccio - Normale - Roccia - Acciaio,–,Folletto - Volante - Psico,–
#0067,Machoke,,Lotta,,Pokémon Megaforza,Stadio 1,80,100,70,50,60,45,405,67.50,Earthquake,Knock Off,Light Screen,Protect,Buio - Ghiaccio - Normale - Roccia - Acciaio,–,Folletto - Volante - Psico,–
#0068,Machamp,Forma Normale,Lotta,,Pokémon Megaforza,Stadio 2,90,130,80,65,85,55,505,84.17,Bulk Up,Bullet Punch,Close Combat,Earthquake,Buio - Ghiaccio - Normale - Roccia - Acciaio,–,Folletto - Volante - Psico,–
#0072,Tentacool,,Acqua,Veleno,Pokémon Medusa,Base,40,40,35,50,100,70,335,55.83,Hydro Pump,Ice Beam,Knock Off,Protect,Fuoco - Terra - Roccia,Folletto - Erba,Elettro - Erba,Terra - Psico
#0073,Tentacruel,,Acqua,Veleno,Pokémon Medusa,Stadio 1,80,70,65,80,120,100,515,85.83,Blizzard,Dazzling Gleam,Giga Drain,Hydro Pump,Fuoco - Terra - Roccia,Folletto - Erba,Elettro - Erba,Terra - Psico
#0077,Ponyta,Forma Normale,Fuoco,,Pokémon Cavalfuoco,Base,50,85,55,65,65,90,410,68.33,Protect,Reflect,Rest,Toxic,Coleottero - Erba - Ghiaccio - Acciaio,–,Terra - Roccia - Acqua,–
#0077,Ponyta,Forma Galar,Psico,Folletto,Pokémon Singolcorno,Base,50,85,55,65,65,90,410,68.33,Protect,Reflect,Rest,Toxic,Lotta - Veleno,Lotta - Buio - Drago,Coleottero - Buio - Spettro,Veleno - Acciaio
#0078,Rapidash,Forma Normale,Fuoco,,Pokémon Cavalfuoco,Stadio 1,65,100,70,80,80,105,500,83.33,Baton Pass,Protect,Reflect,Rest,Coleottero - Erba - Ghiaccio - Acciaio,–,Terra - Roccia - Acqua,–
#0078,Rapidash,Forma Galar,Psico,Folletto,Pokémon Singolcorno,Stadio 1,65,100,70,80,80,105,500,83.33,Baton Pass,Protect,Reflect,Rest,Lotta - Veleno,Lotta - Buio - Drago,Coleottero - Buio - Spettro,Veleno - Acciaio
#0079,Slowpoke,Forma Normale,Acqua,Psico,Pokémon Ronfone,Base,90,65,65,40,40,15,315,52.50,Earthquake,Hydro Pump,Ice Beam,Light Screen,Fuoco - Terra - Roccia,Lotta - Veleno,Elettro - Erba,Coleottero - Buio - Spettro
#0079,Slowpoke,Forma Galar,Psico,,Pokémon Ronfone,Base,90,65,65,40,40,15,315,52.50,Earthquake,Hydro Pump,Ice Beam,Light Screen,Lotta - Veleno,–,Coleottero - Buio - Spettro,–
#0080,Slowbro,Forma Normale,Acqua,Psico,Pokémon Paguro,Stadio 1,95,75,110,100,80,30,490,81.67,Belly Drum,Drain Punch,Earthquake,Expanding Force,Fuoco - Terra - Roccia,Lotta - Veleno,Elettro - Erba,Coleottero - Buio - Spettro
#0080,Slowbro,Forma Galar,Psico,Veleno,Pokémon Paguro,Stadio 1,95,100,95,100,70,30,490,81.67,Belly Drum,Drain Punch,Earthquake,Expanding Force,Lotta - Veleno,Folletto - Erba,Coleottero - Buio - Spettro,Terra - Psico
#0081,Magnemite,,Elettro,Acciaio,Pokémon Calamita,Base,25,35,70,95,55,45,325,54.17,Light Screen,Protect,Reflect,Rest,Volante - Acqua,Folletto - Ghiaccio - Roccia,Terra,Lotta - Fuoco - Terra
#0082,Magneton,,Elettro,Acciaio,Pokémon Calamita,Stadio 1,50,60,95,120,70,70,465,77.50,Discharge,Flash Cannon,Light Screen,Metal Sound,Volante - Acqua,Folletto - Ghiaccio - Roccia,Terra,Lotta - Fuoco - Terra
#0083,Farfetch'd,Forma Normale,Normale,Volante,Pokémon Selvanatra,Base,52,90,55,58,62,60,377,62.83,Baton Pass,Knock Off,Protect,Reflect,–,Coleottero - Lotta - Erba,Lotta,Elettro - Ghiaccio - Roccia
#0083,Farfetch'd,Forma Galar,Lotta,,Pokémon Selvanatra,Base,52,95,55,58,62,55,377,62.83,Knock Off,Protect,Rest,,Buio - Ghiaccio - Normale - Roccia - Acciaio,–,Folletto - Volante - Psico,–
#0090,Shellder,,Acqua,,Pokémon Bivalve,Base,30,65,100,45,25,40,305,50.83,Hydro Pump,Ice Beam,Protect,Rapid Spin,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0091,Cloyster,,Acqua,Ghiaccio,Pokémon Bivalve,Stadio 1,50,95,180,85,45,70,525,87.50,Hydro Pump,Ice Beam,Ice Shard,Icicle Crash,Fuoco - Terra - Roccia,Drago - Volante - Erba - Terra,Elettro - Erba,Lotta - Fuoco - Roccia - Acciaio
#0092,Gastly,,Spettro,Veleno,Pokémon Gas,Base,30,35,30,100,35,80,310,51.67,Destiny Bond,Knock Off,Protect,Rest,Spettro - Psico,Folletto - Erba,Buio - Spettro,Terra - Psico
#0093,Haunter,,Spettro,Veleno,Pokémon Gas,Stadio 1,45,50,45,115,55,95,405,67.50,Destiny Bond,Knock Off,Protect,Rest,Spettro - Psico,Folletto - Erba,Buio - Spettro,Terra - Psico
#0094,Gengar,Forma Normale,Spettro,Veleno,Pokémon Ombra,Stadio 2,60,65,60,130,75,110,500,83.33,Dazzling Gleam,Destiny Bond,Icy Wind,Imprison,Spettro - Psico,Folletto - Erba,Buio - Spettro,Terra - Psico
#0095,Onix,,Roccia,Terra,Pokémon Serpesasso,Base,35,45,160,30,45,70,385,64.17,Earthquake,Head Smash,Protect,Rest,Coleottero - Fuoco - Volante - Ghiaccio,Elettro - Fuoco - Veleno - Roccia - Acciaio,Lotta - Erba - Terra - Acciaio - Acqua,Erba - Ghiaccio - Acqua
#0098,Krabby,,Acqua,,Pokémon Granchio,Base,30,105,90,25,25,50,325,54.17,Ice Beam,Knock Off,Protect,Rest,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0099,Kingler,Forma Normale,Acqua,,Pokémon Chela,Stadio 1,55,130,115,50,50,75,475,79.17,Brick Break,Crabhammer,Guillotine,High Horsepower,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0102,Exeggcute,,Erba,Psico,Pokémon Uovo,Base,60,40,80,60,45,40,325,54.17,Light Screen,Protect,Reflect,Rest,Terra - Roccia - Acqua,Lotta - Veleno,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Coleottero - Buio - Spettro
#0103,Exeggutor,Forma Normale,Erba,Psico,Pokémon Nocecocco,Stadio 1,95,95,85,125,75,55,530,88.33,Ancient Power,Energy Ball,Expanding Force,Giga Drain,Terra - Roccia - Acqua,Lotta - Veleno,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Coleottero - Buio - Spettro
#0103,Exeggutor,Forma Alola,Erba,Drago,Pokémon Nocecocco,Stadio 1,95,105,85,125,75,45,530,88.33,Dragon Pulse,Earthquake,Energy Ball,Flamethrower,Terra - Roccia - Acqua,Drago,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Drago - Folletto - Ghiaccio
#0104,Cubone,,Terra,,Pokémon Solitario,Base,50,50,95,40,50,35,320,53.33,Earthquake,Ice Beam,Knock Off,Protect,Elettro - Fuoco - Veleno - Roccia - Acciaio,–,Erba - Ghiaccio - Acqua,–
#0105,Marowak,Forma Normale,Terra,,Pokémon Guardaossi,Stadio 1,60,80,110,50,80,45,425,70.83,Bonemerang,Brick Break,Earthquake,Fire Punch,Elettro - Fuoco - Veleno - Roccia - Acciaio,–,Erba - Ghiaccio - Acqua,–
#0105,Marowak,Forma Alola,Fuoco,Spettro,Pokémon Guardaossi,Stadio 1,60,80,110,50,80,45,425,70.83,Bonemerang,Brick Break,Earthquake,Fire Punch,Coleottero - Erba - Ghiaccio - Acciaio,Spettro - Psico,Terra - Roccia - Acqua,Buio - Spettro
#0108,Lickitung,,Normale,,Pokémon Linguaccia,Base,90,55,75,60,75,30,385,64.17,Earthquake,Hydro Pump,Ice Beam,Knock Off,–,–,Lotta,–
#0109,Koffing,,Veleno,,Pokémon Velenuvola,Base,40,65,95,60,45,35,340,56.67,Destiny Bond,Protect,Rest,Taunt,Folletto - Erba,–,Terra - Psico,–
#0110,Weezing,Forma Normale,Veleno,,Pokémon Velenuvola,Stadio 1,65,90,120,85,70,60,490,81.67,Destiny Bond,Protect,Rest,Sludge Bomb,Folletto - Erba,–,Terra - Psico,–
#0110,Weezing,Forma Galar,Veleno,Folletto,Pokémon Velenuvola,Stadio 1,65,90,120,85,70,60,490,81.67,Destiny Bond,Protect,Rest,Sludge Bomb,Folletto - Erba,Lotta - Buio - Drago,Terra - Psico,Veleno - Acciaio
#0111,Rhyhorn,,Terra,Roccia,Pokémon Punzoni,Base,80,85,95,30,30,25,345,57.50,Earthquake,Ice Beam,Protect,Rest,Elettro - Fuoco - Veleno - Roccia - Acciaio,Coleottero - Fuoco - Volante - Ghiaccio,Erba - Ghiaccio - Acqua,Lotta - Erba - Terra - Acciaio - Acqua
#0112,Rhydon,,Terra,Roccia,Pokémon Trapano,Stadio 1,105,130,120,45,45,40,485,80.83,Earthquake,Hydro Pump,Ice Beam,Protect,Elettro - Fuoco - Veleno - Roccia - Acciaio,Coleottero - Fuoco - Volante - Ghiaccio,Erba - Ghiaccio - Acqua,Lotta - Erba - Terra - Acciaio - Acqua
#0113,Chansey,,Normale,,Pokémon Uovo,Stadio 1,250,5,5,35,105,50,450,75.00,Earthquake,Flamethrower,Gravity,Ice Beam,–,–,Lotta,–
#0114,Tangela,,Erba,,Pokémon Liana,Base,65,55,115,100,40,60,435,72.50,Knock Off,Leech Seed,Protect,Rage Powder,Terra - Roccia - Acqua,–,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,–
#0115,Kangaskhan,Forma Normale,Normale,,Pokémon Genitore,Base,105,95,80,40,80,90,490,81.67,Earthquake,Fake Out,Hydro Pump,,–,–,Lotta,–
#0117,Seadra,,Acqua,,Pokémon Drago,Stadio 1,55,65,95,95,45,85,440,73.33,Flip Turn,Hydro Pump,Ice Beam,Protect,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0118,Goldeen,,Acqua,,Pokémon Pescerosso,Base,45,67,60,35,50,63,320,53.33,Flip Turn,Hydro Pump,Ice Beam,Knock Off,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0119,Seaking,,Acqua,,Pokémon Pescerosso,Stadio 1,80,92,65,65,80,68,450,75.00,Aqua Tail,Drill Run,Flip Turn,Horn Drill,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0120,Staryu,,Acqua,,Pokémon Stella,Base,30,45,55,70,55,85,340,56.67,Flip Turn,Hydro Pump,Ice Beam,Light Screen,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0121,Starmie,,Acqua,Psico,Pokémon Misterioso,Stadio 1,60,75,85,100,85,115,520,86.67,Dazzling Gleam,Expanding Force,Flip Turn,Hydro Pump,Fuoco - Terra - Roccia,Lotta - Veleno,Elettro - Erba,Coleottero - Buio - Spettro
#0123,Scyther,,Coleottero,Volante,Pokémon Mantide,Base,70,110,80,55,80,105,500,83.33,Assurance,Baton Pass,Brick Break,Brutal Swing,Erba - Buio - Psico,Coleottero - Lotta - Erba,Fuoco - Volante - Roccia,Elettro - Ghiaccio - Roccia
#0124,Jynx,,Ghiaccio,Psico,Pokémon Umanoide,Stadio 1,65,50,35,115,95,95,455,75.83,Fake Out,Ice Beam,Icy Wind,Light Screen,Drago - Volante - Erba - Terra,Lotta - Veleno,Lotta - Fuoco - Roccia - Acciaio,Coleottero - Buio - Spettro
#0125,Electabuzz,,Elettro,,Pokémon Elettrico,Stadio 1,65,83,57,95,85,105,490,81.67,Light Screen,Protect,Reflect,Rest,Volante - Acqua,–,Terra,–
#0126,Magmar,,Fuoco,,Pokémon Sputafuoco,Stadio 1,65,95,57,100,85,93,495,82.50,Protect,Rest,Taunt,Teleport,Coleottero - Erba - Ghiaccio - Acciaio,–,Terra - Roccia - Acqua,–
#0127,Pinsir,Forma Normale,Coleottero,,Pokémon Cervolante,Base,65,125,100,55,70,85,500,83.33,Earthquake,Knock Off,Protect,Rest,Erba - Buio - Psico,–,Fuoco - Volante - Roccia,–
#0128,Tauros,,Normale,,Pokémon Torobrado,Base,75,100,95,40,70,110,490,81.67,Body Slam,Close Combat,Double-Edge,Earthquake,–,–,Lotta,–
#0130,Gyarados,Forma Normale,Acqua,Volante,Pokémon Atroce,Stadio 1,95,125,79,60,100,81,540,90.00,Avalanche,Bounce,Dragon Dance,Earthquake,Fuoco - Terra - Roccia,Coleottero - Lotta - Erba,Elettro - Erba,Elettro - Ghiaccio - Roccia
#0131,Lapras,Forma Normale,Acqua,Ghiaccio,Pokémon Trasporto,Base,130,85,80,85,95,60,535,89.17,Blizzard,Freeze-Dry,Hydro Pump,Ice Beam,Fuoco - Terra - Roccia,Drago - Volante - Erba - Terra,Elettro - Erba,Lotta - Fuoco - Roccia - Acciaio
#0133,Eevee,Forma Normale,Normale,,Pokémon Evoluzione,Base,55,55,50,45,65,55,325,54.17,Baton Pass,Protect,Reflect,Rest,–,–,Lotta,–
#0134,Vaporeon,,Acqua,,Pokémon Bollajet,Stadio 1,130,65,60,110,95,65,525,87.50,Baton Pass,Blizzard,Flip Turn,Haze,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0135,Jolteon,,Elettro,,Pokémon Luminoso,Stadio 1,65,65,60,110,95,130,525,87.50,Baton Pass,Charm,Detect,Discharge,Volante - Acqua,–,Terra,–
#0136,Flareon,,Fuoco,,Pokémon Fiamma,Stadio 1,65,130,60,95,110,65,525,87.50,Baton Pass,Detect,Facade,Flare Blitz,Coleottero - Erba - Ghiaccio - Acciaio,–,Terra - Roccia - Acqua,–
